vendor_part_no,period_month,store_region,qty,sales_dollars,avg_price
BI100007,2024-08,PNW,52,1204.32,23.16
BI100007,2024-09,NE,37,856.92,23.16
BI100007,2024-09,MA,33,764.28,23.16
BI100007,2024-09,SE,52,1204.32,23.16
BI100007,2024-09,MW,38,880.08,23.16
BI100007,2024-09,TX,46,1065.36,23.16
BI100007,2024-09,MTN,54,1250.64,23.16
BI100007,2024-09,PSW,47,1088.52,23.16
BI100007,2024-09,PNW,46,1065.36,23.16
BI100007,2024-10,NE,33,764.28,23.16
BI100007,2024-10,MA,30,694.8,23.16
BI100007,2024-10,SE,48,1111.68,23.16
BI100007,2024-10,MW,33,764.28,23.16
BI100007,2024-10,TX,40,926.4,23.16
BI100007,2024-10,MTN,48,1111.68,23.16
BI100007,2024-10,PSW,40,926.4,23.16
BI100007,2024-10,PNW,39,903.24,23.16
BI100007,2024-11,NE,29,671.64,23.16
BI100007,2024-11,MA,29,671.64,23.16
BI100007,2024-11,SE,39,903.24,23.16
BI100007,2024-11,MW,29,671.64,23.16
BI100007,2024-11,TX,35,810.6,23.16
BI100007,2024-11,MTN,43,995.88,23.16
BI100007,2024-11,PSW,37,856.92,23.16
BI100007,2024-11,PNW,37,856.92,23.16
BI100007,2024-12,NE,30,694.8,23.16
BI100007,2024-12,MA,28,648.48,23.16
BI100007,2024-12,SE,36,833.76,23.16
BI100007,2024-12,MW,28,648.48,23.16
BI100007,2024-12,TX,35,810.6,23.16
BI100007,2024-12,MTN,40,926.4,23.16
BI100007,2024-12,PSW,35,810.6,23.16
BI100007,2024-12,PNW,36,833.76,23.16
BI100007,2025-01,NE,30,694.8,23.16
BI100007,2025-01,MA,29,671.64,23.16
BI100007,2025-01,SE,40,926.4,23.16
BI100007,2025-01,MW,30,694.8,23.16
BI100007,2025-01,TX,27,737.91,27.33
BI100007,2025-01,MTN,43,995.88,23.16
BI100007,2025-01,PSW,35,810.6,23.16
BI100007,2025-01,PNW,38,880.08,23.16
BI100007,2025-02,NE,35,810.6,23.16
BI100007,2025-02,MA,32,741.12,23.16
BI100007,2025-02,SE,48,1111.68,23.16
BI100007,2025-02,MW,32,741.12,23.16
BI100007,2025-02,TX,30,819.9,27.33
BI100007,2025-02,MTN,45,1042.2,23.16
BI100007,2025-02,PSW,39,903.24,23.16
BI100007,2025-02,PNW,41,949.56,23.16
BI100007,2025-03,NE,42,972.72,23.16
BI100007,2025-03,MA,39,903.24,23.16
BI100007,2025-03,SE,54,1250.64,23.16
BI100007,2025-03,MW,39,903.24,23.16
BI100007,2025-03,TX,52,1204.32,23.16
BI100007,2025-03,MTN,57,1320.12,23.16
BI100007,2025-03,PSW,47,1088.52,23.16
BI100007,2025-03,PNW,46,1065.36,23.16
BI100007,2025-04,NE,41,949.56,23.16
BI100007,2025-04,MA,39,903.24,23.16
BI100007,2025-04,SE,55,1273.8,23.16
BI100007,2025-04,MW,42,972.72,23.16
BI100007,2025-04,TX,57,1320.12,23.16
BI100007,2025-04,MTN,64,1482.24,23.16
BI100007,2025-04,PSW,50,1158.0,23.16
BI100007,2025-04,PNW,58,1343.28,23.16
BI100007,2025-05,NE,50,1158.0,23.16
BI100007,2025-05,MA,45,1042.2,23.16
BI100007,2025-05,SE,59,1366.44,23.16
BI100007,2025-05,MW,45,1042.2,23.16
BI100007,2025-05,TX,63,1459.08,23.16
BI100007,2025-05,MTN,66,1528.56,23.16
BI100007,2025-05,PSW,57,1320.12,23.16
BI100007,2025-05,PNW,64,1482.24,23.16
BI100007,2025-06,NE,47,1088.52,23.16
BI100007,2025-06,MA,50,1158.0,23.16
BI100007,2025-06,SE,65,1505.4,23.16
BI100007,2025-06,MW,47,1088.52,23.16
BI100007,2025-06,TX,63,1459.08,23.16
BI100007,2025-06,MTN,64,1482.24,23.16
BI100007,2025-06,PSW,63,1459.08,23.16
BI100007,2025-06,PNW,61,1412.76,23.16
BI100007,2025-07,NE,45,1042.2,23.16
BI100007,2025-07,MA,47,1088.52,23.16
BI100007,2025-07,SE,68,1574.88,23.16
BI100007,2025-07,MW,45,1042.2,23.16
BI100007,2025-07,TX,60,1389.6,23.16
BI100007,2025-07,MTN,69,1598.04,23.16
BI100007,2025-07,PSW,57,1320.12,23.16
BI100007,2025-07,PNW,58,1343.28,23.16
BI100007,2025-08,NE,46,1065.36,23.16
BI100007,2025-08,MA,46,1065.36,23.16
BI100007,2025-08,SE,57,1320.12,23.16
BI100007,2025-08,MW,46,1065.36,23.16
BI100007,2025-08,TX,55,1273.8,23.16
BI100007,2025-08,MTN,63,1459.08,23.16
BI100007,2025-08,PSW,50,1158.0,23.16
BI100007,2025-08,PNW,57,1320.12,23.16
BI100007,2025-09,NE,37,856.92,23.16
BI100007,2025-09,MA,39,903.24,23.16
BI100007,2025-09,SE,53,1227.48,23.16
BI100007,2025-09,MW,39,903.24,23.16
BI100007,2025-09,TX,48,1111.68,23.16
BI100007,2025-09,MTN,53,1227.48,23.16
BI100007,2025-09,PSW,49,1134.84,23.16
BI100007,2025-09,PNW,54,1250.64,23.16
BI100007,2025-10,NE,38,880.08,23.16
BI100007,2025-10,MA,35,810.6,23.16
BI100007,2025-10,SE,47,1088.52,23.16
BI100007,2025-10,MW,32,741.12,23.16
BI100007,2025-10,TX,41,949.56,23.16
BI100007,2025-10,MTN,51,1181.16,23.16
BI100007,2025-10,PSW,41,949.56,23.16
BI100007,2025-10,PNW,41,949.56,23.16
BI100007,2025-11,NE,31,717.96,23.16
BI100007,2025-11,MA,32,741.12,23.16
BI100007,2025-11,SE,42,972.72,23.16
BI100007,2025-11,MW,31,717.96,23.16
BI100007,2025-11,TX,40,926.4,23.16
BI100007,2025-11,MTN,47,1088.52,23.16
BI100007,2025-11,PSW,39,903.24,23.16
BI100007,2025-11,PNW,38,880.08,23.16
BI100007,2025-12,NE,33,764.28,23.16
BI100007,2025-12,MA,27,625.32,23.16
BI100007,2025-12,SE,42,972.72,23.16
BI100007,2025-12,MW,30,694.8,23.16
BI100007,2025-12,TX,40,926.4,23.16
BI100007,2025-12,MTN,40,926.4,23.16
BI100007,2025-12,PSW,34,787.44,23.16
BI100007,2025-12,PNW,40,926.4,23.16
BI100014,2024-01,NE,83,4237.15,51.05
BI100014,2024-01,MA,90,4594.5,51.05
BI100014,2024-01,SE,62,3165.1,51.05
BI100014,2024-01,MW,57,2909.85,51.05
BI100014,2024-01,TX,66,3369.3,51.05
BI100014,2024-01,MTN,69,3522.45,51.05
BI100014,2024-01,PSW,97,4951.85,51.05
BI100014,2024-01,PNW,81,4135.05,51.05
BI100014,2024-02,NE,94,4798.7,51.05
BI100014,2024-02,MA,113,5768.65,51.05
BI100014,2024-02,SE,74,3777.7,51.05
BI100014,2024-02,MW,65,3318.25,51.05
BI100014,2024-02,TX,78,3981.9,51.05
BI100014,2024-02,MTN,85,4339.25,51.05
BI100014,2024-02,PSW,95,4849.75,51.05
BI100014,2024-02,PNW,81,4135.05,51.05
BI100014,2024-03,NE,110,5615.5,51.05
BI100014,2024-03,MA,132,6738.6,51.05
BI100014,2024-03,SE,89,4543.45,51.05
BI100014,2024-03,MW,79,4032.95,51.05
BI100014,2024-03,TX,83,4237.15,51.05
BI100014,2024-03,MTN,100,5105.0,51.05
BI100014,2024-03,PSW,120,6126.0,51.05
BI100014,2024-03,PNW,107,5462.35,51.05
BI100014,2024-04,NE,120,6126.0,51.05
BI100014,2024-04,MA,133,6789.65,51.05
BI100014,2024-04,SE,96,4900.8,51.05
BI100014,2024-04,MW,89,4543.45,51.05
BI100014,2024-04,TX,94,4798.7,51.05
BI100014,2024-04,MTN,107,5462.35,51.05
BI100014,2024-04,PSW,130,6636.5,51.05
BI100014,2024-04,PNW,109,5564.45,51.05
BI100014,2024-05,NE,140,7147.0,51.05
BI100014,2024-05,MA,152,7759.6,51.05
BI100014,2024-05,SE,106,5411.3,51.05
BI100014,2024-05,MW,88,4492.4,51.05
BI100014,2024-05,TX,104,5309.2,51.05
BI100014,2024-05,MTN,108,5513.4,51.05
BI100014,2024-05,PSW,136,6942.8,51.05
BI100014,2024-05,PNW,126,6432.3,51.05
BI100014,2024-06,NE,147,7504.35,51.05
BI100014,2024-06,MA,153,7810.65,51.05
BI100014,2024-06,SE,101,5156.05,51.05
BI100014,2024-06,MW,92,4696.6,51.05
BI100014,2024-06,TX,101,5156.05,51.05
BI100014,2024-06,MTN,115,5870.75,51.05
BI100014,2024-06,PSW,137,6993.85,51.05
BI100014,2024-06,PNW,125,6381.25,51.05
BI100014,2024-07,NE,136,6942.8,51.05
BI100014,2024-07,MA,162,8270.1,51.05
BI100014,2024-07,SE,97,4951.85,51.05
BI100014,2024-07,MW,100,5105.0,51.05
BI100014,2024-07,TX,102,5207.1,51.05
BI100014,2024-07,MTN,120,6126.0,51.05
BI100014,2024-07,PSW,155,7912.75,51.05
BI100014,2024-07,PNW,124,6330.2,51.05
BI100014,2024-08,NE,140,7147.0,51.05
BI100014,2024-08,MA,153,7810.65,51.05
BI100014,2024-08,SE,100,5105.0,51.05
BI100014,2024-08,MW,84,4288.2,51.05
BI100014,2024-08,TX,92,4696.6,51.05
BI100014,2024-08,MTN,109,5564.45,51.05
BI100014,2024-08,PSW,139,7095.95,51.05
BI100014,2024-08,PNW,109,5564.45,51.05
BI100014,2024-09,NE,125,6381.25,51.05
BI100014,2024-09,MA,137,6993.85,51.05
BI100014,2024-09,SE,87,4441.35,51.05
BI100014,2024-09,MW,80,4084.0,51.05
BI100014,2024-09,TX,87,4441.35,51.05
BI100014,2024-09,MTN,98,5002.9,51.05
BI100014,2024-09,PSW,123,6279.15,51.05
BI100014,2024-09,PNW,101,5156.05,51.05
BI100014,2024-10,NE,107,5462.35,51.05
BI100014,2024-10,MA,110,5615.5,51.05
BI100014,2024-10,SE,71,3624.55,51.05
BI100014,2024-10,MW,73,3726.65,51.05
BI100014,2024-10,TX,83,4237.15,51.05
BI100014,2024-10,MTN,87,4441.35,51.05
BI100014,2024-10,PSW,108,5513.4,51.05
BI100014,2024-10,PNW,88,4492.4,51.05
BI100014,2024-11,NE,91,4645.55,51.05
BI100014,2024-11,MA,109,5564.45,51.05
BI100014,2024-11,SE,64,3267.2,51.05
BI100014,2024-11,MW,65,3318.25,51.05
BI100014,2024-11,TX,66,3369.3,51.05
BI100014,2024-11,MTN,77,3930.85,51.05
BI100014,2024-11,PSW,93,4747.65,51.05
BI100014,2024-11,PNW,79,4032.95,51.05
BI100014,2024-12,NE,95,4849.75,51.05
BI100014,2024-12,MA,96,4900.8,51.05
BI100014,2024-12,SE,70,3573.5,51.05
BI100014,2024-12,MW,57,2909.85,51.05
BI100014,2024-12,TX,70,3573.5,51.05
BI100014,2024-12,MTN,77,3930.85,51.05
BI100014,2024-12,PSW,91,4645.55,51.05
BI100014,2024-12,PNW,77,3930.85,51.05
BI100014,2025-01,NE,93,4747.65,51.05
BI100014,2025-01,MA,102,5207.1,51.05
BI100014,2025-01,SE,68,3471.4,51.05
BI100014,2025-01,MW,59,3011.95,51.05
BI100014,2025-01,TX,52,3132.48,60.24
BI100014,2025-01,MTN,74,3777.7,51.05
BI100014,2025-01,PSW,93,4747.65,51.05
BI100014,2025-01,PNW,77,3930.85,51.05
BI100014,2025-02,NE,98,5002.9,51.05
BI100014,2025-02,MA,122,6228.1,51.05
BI100014,2025-02,SE,80,4084.0,51.05
BI100014,2025-02,MW,66,3369.3,51.05
BI100014,2025-02,TX,54,3252.96,60.24
BI100014,2025-02,MTN,90,4594.5,51.05
BI100014,2025-02,PSW,113,5768.65,51.05
BI100014,2025-02,PNW,90,4594.5,51.05
BI100014,2025-03,NE,121,6177.05,51.05
BI100014,2025-03,MA,126,6432.3,51.05
BI100014,2025-03,SE,87,4441.35,51.05
BI100014,2025-03,MW,83,4237.15,51.05
BI100014,2025-03,TX,89,4543.45,51.05
BI100014,2025-03,MTN,108,5513.4,51.05
BI100014,2025-03,PSW,118,6023.9,51.05
BI100014,2025-03,PNW,114,5819.7,51.05
BI100014,2025-04,NE,138,7044.9,51.05
BI100014,2025-04,MA,153,7810.65,51.05
BI100014,2025-04,SE,95,4849.75,51.05
BI100014,2025-04,MW,95,4849.75,51.05
BI100014,2025-04,TX,102,5207.1,51.05
BI100014,2025-04,MTN,110,5615.5,51.05
BI100014,2025-04,PSW,149,7606.45,51.05
BI100014,2025-04,PNW,115,5870.75,51.05
BI100014,2025-05,NE,151,7708.55,51.05
BI100014,2025-05,MA,161,8219.05,51.05
BI100014,2025-05,SE,107,5462.35,51.05
BI100014,2025-05,MW,102,5207.1,51.05
BI100014,2025-05,TX,120,6126.0,51.05
BI100014,2025-05,MTN,118,6023.9,51.05
BI100014,2025-05,PSW,149,7606.45,51.05
BI100014,2025-05,PNW,124,6330.2,51.05
BI100014,2025-06,NE,160,8168.0,51.05
BI100014,2025-06,MA,177,9035.85,51.05
BI100014,2025-06,SE,121,6177.05,51.05
BI100014,2025-06,MW,104,5309.2,51.05
BI100014,2025-06,TX,113,5768.65,51.05
BI100014,2025-06,MTN,131,6687.55,51.05
BI100014,2025-06,PSW,169,8627.45,51.05
BI100014,2025-06,PNW,145,7402.25,51.05
BI100014,2025-07,NE,158,8065.9,51.05
BI100014,2025-07,MA,169,8627.45,51.05
BI100014,2025-07,SE,102,5207.1,51.05
BI100014,2025-07,MW,107,5462.35,51.05
BI100014,2025-07,TX,120,6126.0,51.05
BI100014,2025-07,MTN,132,6738.6,51.05
BI100014,2025-07,PSW,157,8014.85,51.05
BI100014,2025-07,PNW,135,6891.75,51.05
BI100014,2025-08,NE,138,7044.9,51.05
BI100014,2025-08,MA,166,8474.3,51.05
BI100014,2025-08,SE,106,5411.3,51.05
BI100014,2025-08,MW,95,4849.75,51.05
BI100014,2025-08,TX,100,5105.0,51.05
BI100014,2025-08,MTN,112,5717.6,51.05
BI100014,2025-08,PSW,145,7402.25,51.05
BI100014,2025-08,PNW,119,6074.95,51.05
BI100014,2025-09,NE,135,6891.75,51.05
BI100014,2025-09,MA,143,7300.15,51.05
BI100014,2025-09,SE,93,4747.65,51.05
BI100014,2025-09,MW,83,4237.15,51.05
BI100014,2025-09,TX,87,4441.35,51.05
BI100014,2025-09,MTN,100,5105.0,51.05
BI100014,2025-09,PSW,130,6636.5,51.05
BI100014,2025-09,PNW,116,5921.8,51.05
BI100014,2025-10,NE,109,5564.45,51.05
BI100014,2025-10,MA,113,5768.65,51.05
BI100014,2025-10,SE,83,4237.15,51.05
BI100014,2025-10,MW,72,3675.6,51.05
BI100014,2025-10,TX,79,4032.95,51.05
BI100014,2025-10,MTN,87,4441.35,51.05
BI100014,2025-10,PSW,108,5513.4,51.05
BI100014,2025-10,PNW,93,4747.65,51.05
BI100014,2025-11,NE,96,4900.8,51.05
BI100014,2025-11,MA,102,5207.1,51.05
BI100014,2025-11,SE,69,3522.45,51.05
BI100014,2025-11,MW,69,3522.45,51.05
BI100014,2025-11,TX,74,3777.7,51.05
BI100014,2025-11,MTN,84,4288.2,51.05
BI100014,2025-11,PSW,101,5156.05,51.05
BI100014,2025-11,PNW,90,4594.5,51.05
BI100014,2025-12,NE,99,5053.95,51.05
BI100014,2025-12,MA,100,5105.0,51.05
BI100014,2025-12,SE,66,3369.3,51.05
BI100014,2025-12,MW,65,3318.25,51.05
BI100014,2025-12,TX,76,3879.8,51.05
BI100014,2025-12,MTN,73,3726.65,51.05
BI100014,2025-12,PSW,97,4951.85,51.05
BI100014,2025-12,PNW,80,4084.0,51.05
BI100021,2024-01,NE,41,7731.78,188.58
BI100021,2024-01,MA,40,7543.2,188.58
BI100021,2024-01,SE,34,6411.72,188.58
BI100021,2024-01,MW,37,6977.46,188.58
BI100021,2024-01,TX,26,4903.08,188.58
BI100021,2024-01,MTN,40,7543.2,188.58
BI100021,2024-01,PSW,38,7166.04,188.58
BI100021,2024-01,PNW,40,7543.2,188.58
BI100021,2024-02,NE,44,8297.52,188.58
BI100021,2024-02,MA,46,8674.68,188.58
BI100021,2024-02,SE,39,7354.62,188.58
BI100021,2024-02,MW,46,8674.68,188.58
BI100021,2024-02,TX,30,5657.4,188.58
BI100021,2024-02,MTN,39,7354.62,188.58
BI100021,2024-02,PSW,43,8108.94,188.58
BI100021,2024-02,PNW,47,8863.26,188.58
BI100021,2024-03,NE,50,9429.0,188.58
BI100021,2024-03,MA,47,8863.26,188.58
BI100021,2024-03,SE,45,8486.1,188.58
BI100021,2024-03,MW,50,9429.0,188.58
BI100021,2024-03,TX,33,6223.14,188.58
BI100021,2024-03,MTN,49,9240.42,188.58
BI100021,2024-03,PSW,51,9617.58,188.58
BI100021,2024-03,PNW,50,9429.0,188.58
BI100021,2024-04,NE,55,10371.9,188.58
BI100021,2024-04,MA,52,9806.16,188.58
BI100021,2024-04,SE,45,8486.1,188.58
BI100021,2024-04,MW,62,11691.96,188.58
BI100021,2024-04,TX,41,7731.78,188.58
BI100021,2024-04,MTN,55,10371.9,188.58
BI100021,2024-04,PSW,55,10371.9,188.58
BI100021,2024-04,PNW,62,11691.96,188.58
BI100021,2024-05,NE,68,12823.44,188.58
BI100021,2024-05,MA,65,12257.7,188.58
BI100021,2024-05,SE,52,9806.16,188.58
BI100021,2024-05,MW,63,11880.54,188.58
BI100021,2024-05,TX,43,8108.94,188.58
BI100021,2024-05,MTN,59,11126.22,188.58
BI100021,2024-05,PSW,60,11314.8,188.58
BI100021,2024-05,PNW,58,10937.64,188.58
BI100021,2024-06,NE,67,12634.86,188.58
BI100021,2024-06,MA,67,12634.86,188.58
BI100021,2024-06,SE,57,10749.06,188.58
BI100021,2024-06,MW,68,12823.44,188.58
BI100021,2024-06,TX,41,7731.78,188.58
BI100021,2024-06,MTN,58,10937.64,188.58
BI100021,2024-06,PSW,62,11691.96,188.58
BI100021,2024-06,PNW,65,12257.7,188.58
BI100021,2024-07,NE,64,12069.12,188.58
BI100021,2024-07,MA,61,11503.38,188.58
BI100021,2024-07,SE,55,10371.9,188.58
BI100021,2024-07,MW,60,11314.8,188.58
BI100021,2024-07,TX,43,8108.94,188.58
BI100021,2024-07,MTN,61,11503.38,188.58
BI100021,2024-07,PSW,57,10749.06,188.58
BI100021,2024-07,PNW,66,12446.28,188.58
BI100021,2024-08,NE,61,11503.38,188.58
BI100021,2024-08,MA,54,10183.32,188.58
BI100021,2024-08,SE,50,9429.0,188.58
BI100021,2024-08,MW,62,11691.96,188.58
BI100021,2024-08,TX,37,6977.46,188.58
BI100021,2024-08,MTN,54,10183.32,188.58
BI100021,2024-08,PSW,56,10560.48,188.58
BI100021,2024-08,PNW,56,10560.48,188.58
BI100021,2024-09,NE,55,10371.9,188.58
BI100021,2024-09,MA,51,9617.58,188.58
BI100021,2024-09,SE,41,7731.78,188.58
BI100021,2024-09,MW,51,9617.58,188.58
BI100021,2024-09,TX,36,6788.88,188.58
BI100021,2024-09,MTN,48,9051.84,188.58
BI100021,2024-09,PSW,46,8674.68,188.58
BI100021,2024-09,PNW,51,9617.58,188.58
BI100021,2024-10,NE,50,9429.0,188.58
BI100021,2024-10,MA,48,9051.84,188.58
BI100021,2024-10,SE,36,6788.88,188.58
BI100021,2024-10,MW,45,8486.1,188.58
BI100021,2024-10,TX,31,5845.98,188.58
BI100021,2024-10,MTN,46,8674.68,188.58
BI100021,2024-10,PSW,40,7543.2,188.58
BI100021,2024-10,PNW,45,8486.1,188.58
BI100021,2024-11,NE,44,8297.52,188.58
BI100021,2024-11,MA,38,7166.04,188.58
BI100021,2024-11,SE,37,6977.46,188.58
BI100021,2024-11,MW,42,7920.36,188.58
BI100021,2024-11,TX,29,5468.82,188.58
BI100021,2024-11,MTN,38,7166.04,188.58
BI100021,2024-11,PSW,39,7354.62,188.58
BI100021,2024-11,PNW,39,7354.62,188.58
BI100021,2024-12,NE,43,8108.94,188.58
BI100021,2024-12,MA,36,6788.88,188.58
BI100021,2024-12,SE,35,6600.3,188.58
BI100021,2024-12,MW,43,8108.94,188.58
BI100021,2024-12,TX,29,5468.82,188.58
BI100021,2024-12,MTN,35,6600.3,188.58
BI100021,2024-12,PSW,38,7166.04,188.58
BI100021,2024-12,PNW,41,7731.78,188.58
BI100021,2025-01,NE,41,7731.78,188.58
BI100021,2025-01,MA,38,7166.04,188.58
BI100021,2025-01,SE,34,6411.72,188.58
BI100021,2025-01,MW,39,7354.62,188.58
BI100021,2025-01,TX,22,4895.44,222.52
BI100021,2025-01,MTN,42,7920.36,188.58
BI100021,2025-01,PSW,37,6977.46,188.58
BI100021,2025-01,PNW,44,8297.52,188.58
BI100021,2025-02,NE,45,8486.1,188.58
BI100021,2025-02,MA,46,8674.68,188.58
BI100021,2025-02,SE,39,7354.62,188.58
BI100021,2025-02,MW,45,8486.1,188.58
BI100021,2025-02,TX,22,4895.44,222.52
BI100021,2025-02,MTN,48,9051.84,188.58
BI100021,2025-02,PSW,45,8486.1,188.58
BI100021,2025-02,PNW,43,8108.94,188.58
BI100021,2025-03,NE,59,11126.22,188.58
BI100021,2025-03,MA,55,10371.9,188.58
BI100021,2025-03,SE,43,8108.94,188.58
BI100021,2025-03,MW,52,9806.16,188.58
BI100021,2025-03,TX,39,7354.62,188.58
BI100021,2025-03,MTN,49,9240.42,188.58
BI100021,2025-03,PSW,49,9240.42,188.58
BI100021,2025-03,PNW,54,10183.32,188.58
BI100021,2025-04,NE,63,11880.54,188.58
BI100021,2025-04,MA,56,10560.48,188.58
BI100021,2025-04,SE,55,10371.9,188.58
BI100021,2025-04,MW,60,11314.8,188.58
BI100021,2025-04,TX,38,7166.04,188.58
BI100021,2025-04,MTN,55,10371.9,188.58
BI100021,2025-04,PSW,60,11314.8,188.58
BI100021,2025-04,PNW,61,11503.38,188.58
BI100021,2025-05,NE,66,12446.28,188.58
BI100021,2025-05,MA,67,12634.86,188.58
BI100021,2025-05,SE,54,10183.32,188.58
BI100021,2025-05,MW,66,12446.28,188.58
BI100021,2025-05,TX,47,8863.26,188.58
BI100021,2025-05,MTN,60,11314.8,188.58
BI100021,2025-05,PSW,59,11126.22,188.58
BI100021,2025-05,PNW,62,11691.96,188.58
BI100021,2025-06,NE,69,13012.02,188.58
BI100021,2025-06,MA,62,11691.96,188.58
BI100021,2025-06,SE,59,11126.22,188.58
BI100021,2025-06,MW,71,13389.18,188.58
BI100021,2025-06,TX,45,8486.1,188.58
BI100021,2025-06,MTN,66,12446.28,188.58
BI100021,2025-06,PSW,64,12069.12,188.58
BI100021,2025-06,PNW,69,13012.02,188.58
BI100021,2025-07,NE,69,13012.02,188.58
BI100021,2025-07,MA,60,11314.8,188.58
BI100021,2025-07,SE,53,9994.74,188.58
BI100021,2025-07,MW,71,13389.18,188.58
BI100021,2025-07,TX,43,8108.94,188.58
BI100021,2025-07,MTN,62,11691.96,188.58
BI100021,2025-07,PSW,67,12634.86,188.58
BI100021,2025-07,PNW,65,12257.7,188.58
BI100021,2025-08,NE,61,11503.38,188.58
BI100021,2025-08,MA,61,11503.38,188.58
BI100021,2025-08,SE,56,10560.48,188.58
BI100021,2025-08,MW,67,12634.86,188.58
BI100021,2025-08,TX,45,8486.1,188.58
BI100021,2025-08,MTN,61,11503.38,188.58
BI100021,2025-08,PSW,62,11691.96,188.58
BI100021,2025-08,PNW,61,11503.38,188.58
BI100021,2025-09,NE,54,10183.32,188.58
BI100021,2025-09,MA,52,9806.16,188.58
BI100021,2025-09,SE,46,8674.68,188.58
BI100021,2025-09,MW,58,10937.64,188.58
BI100021,2025-09,TX,36,6788.88,188.58
BI100021,2025-09,MTN,54,10183.32,188.58
BI100021,2025-09,PSW,53,9994.74,188.58
BI100021,2025-09,PNW,53,9994.74,188.58
BI100021,2025-10,NE,47,8863.26,188.58
BI100021,2025-10,MA,44,8297.52,188.58
BI100021,2025-10,SE,39,7354.62,188.58
BI100021,2025-10,MW,50,9429.0,188.58
BI100021,2025-10,TX,35,6600.3,188.58
BI100021,2025-10,MTN,48,9051.84,188.58
BI100021,2025-10,PSW,49,9240.42,188.58
BI100021,2025-10,PNW,46,8674.68,188.58
BI100021,2025-11,NE,43,8108.94,188.58
BI100021,2025-11,MA,46,8674.68,188.58
BI100021,2025-11,SE,37,6977.46,188.58
BI100021,2025-11,MW,47,8863.26,188.58
BI100021,2025-11,TX,32,6034.56,188.58
BI100021,2025-11,MTN,43,8108.94,188.58
BI100021,2025-11,PSW,42,7920.36,188.58
BI100021,2025-11,PNW,43,8108.94,188.58
BI100021,2025-12,NE,46,8674.68,188.58
BI100021,2025-12,MA,41,7731.78,188.58
BI100021,2025-12,SE,36,6788.88,188.58
BI100021,2025-12,MW,42,7920.36,188.58
BI100021,2025-12,TX,27,5091.66,188.58
BI100021,2025-12,MTN,42,7920.36,188.58
BI100021,2025-12,PSW,42,7920.36,188.58
