CHEWY_PRODUCT_PART_NUMBER,report_month,ship_region,units_sold,ext_sales_amt,unit_price
CW500003,2025-06,MTN,119,2756.04,23.16
CW500003,2025-06,PSW,103,2385.48,23.16
CW500003,2025-06,PNW,98,2269.68,23.16
CW500003,2025-07,NE,75,1737.0,23.16
CW500003,2025-07,MA,81,1875.96,23.16
CW500003,2025-07,SE,115,2663.4,23.16
CW500003,2025-07,MW,75,1737.0,23.16
CW500003,2025-07,TX,101,2339.16,23.16
CW500003,2025-07,MTN,105,2431.8,23.16
CW500003,2025-07,PSW,100,2316.0,23.16
CW500003,2025-07,PNW,103,2385.48,23.16
CW500003,2025-08,NE,74,1713.84,23.16
CW500003,2025-08,MA,72,1667.52,23.16
CW500003,2025-08,SE,99,2292.84,23.16
CW500003,2025-08,MW,74,1713.84,23.16
CW500003,2025-08,TX,100,2316.0,23.16
CW500003,2025-08,MTN,104,2408.64,23.16
CW500003,2025-08,PSW,92,2130.72,23.16
CW500003,2025-08,PNW,89,2061.24,23.16
CW500003,2025-09,NE,66,1528.56,23.16
CW500003,2025-09,MA,66,1528.56,23.16
CW500003,2025-09,SE,83,1922.28,23.16
CW500003,2025-09,MW,60,1389.6,23.16
CW500003,2025-09,TX,78,1806.48,23.16
CW500003,2025-09,MTN,90,2084.4,23.16
CW500003,2025-09,PSW,80,1852.8,23.16
CW500003,2025-09,PNW,86,1991.76,23.16
CW500003,2025-10,NE,57,1320.12,23.16
CW500003,2025-10,MA,57,1320.12,23.16
CW500003,2025-10,SE,83,1922.28,23.16
CW500003,2025-10,MW,58,1343.28,23.16
CW500003,2025-10,TX,74,1713.84,23.16
CW500003,2025-10,MTN,85,1968.6,23.16
CW500003,2025-10,PSW,71,1644.36,23.16
CW500003,2025-10,PNW,69,1598.04,23.16
CW500003,2025-11,NE,51,1181.16,23.16
CW500003,2025-11,MA,52,1204.32,23.16
CW500003,2025-11,SE,77,1783.32,23.16
CW500003,2025-11,MW,51,1181.16,23.16
CW500003,2025-11,TX,71,1644.36,23.16
CW500003,2025-11,MTN,69,1598.04,23.16
CW500003,2025-11,PSW,61,1412.76,23.16
CW500003,2025-11,PNW,68,1574.88,23.16
CW500003,2025-12,NE,54,1250.64,23.16
CW500003,2025-12,MA,47,1088.52,23.16
CW500003,2025-12,SE,65,1505.4,23.16
CW500003,2025-12,MW,47,1088.52,23.16
CW500003,2025-12,TX,64,1482.24,23.16
CW500003,2025-12,MTN,74,1713.84,23.16
CW500003,2025-12,PSW,56,1296.96,23.16
CW500003,2025-12,PNW,60,1389.6,23.16
CW500006,2024-01,NE,138,7044.9,51.05
CW500006,2024-01,MA,167,8525.35,51.05
CW500006,2024-01,SE,104,5309.2,51.05
CW500006,2024-01,MW,105,5360.25,51.05
CW500006,2024-01,TX,110,5615.5,51.05
CW500006,2024-01,MTN,117,5972.85,51.05
CW500006,2024-01,PSW,156,7963.8,51.05
CW500006,2024-01,PNW,127,6483.35,51.05
CW500006,2024-02,NE,178,9086.9,51.05
CW500006,2024-02,MA,177,9035.85,51.05
CW500006,2024-02,SE,129,6585.45,51.05
CW500006,2024-02,MW,108,5513.4,51.05
CW500006,2024-02,TX,116,5921.8,51.05
CW500006,2024-02,MTN,125,6381.25,51.05
CW500006,2024-02,PSW,156,7963.8,51.05
CW500006,2024-02,PNW,151,7708.55,51.05
CW500006,2024-03,NE,198,10107.9,51.05
CW500006,2024-03,MA,218,11128.9,51.05
CW500006,2024-03,SE,136,6942.8,51.05
CW500006,2024-03,MW,133,6789.65,51.05
CW500006,2024-03,TX,140,7147.0,51.05
CW500006,2024-03,MTN,157,8014.85,51.05
CW500006,2024-03,PSW,191,9750.55,51.05
CW500006,2024-03,PNW,156,7963.8,51.05
CW500006,2024-04,NE,224,11435.2,51.05
CW500006,2024-04,MA,228,11639.4,51.05
CW500006,2024-04,SE,159,8116.95,51.05
CW500006,2024-04,MW,144,7351.2,51.05
CW500006,2024-04,TX,162,8270.1,51.05
CW500006,2024-04,MTN,163,8321.15,51.05
CW500006,2024-04,PSW,236,12047.8,51.05
CW500006,2024-04,PNW,200,10210.0,51.05
CW500006,2024-05,NE,228,11639.4,51.05
CW500006,2024-05,MA,268,13681.4,51.05
CW500006,2024-05,SE,170,8678.5,51.05
CW500006,2024-05,MW,166,8474.3,51.05
CW500006,2024-05,TX,186,9495.3,51.05
CW500006,2024-05,MTN,188,9597.4,51.05
CW500006,2024-05,PSW,258,13170.9,51.05
CW500006,2024-05,PNW,200,10210.0,51.05
CW500006,2024-06,NE,260,13273.0,51.05
CW500006,2024-06,MA,263,13426.15,51.05
CW500006,2024-06,SE,166,8474.3,51.05
CW500006,2024-06,MW,159,8116.95,51.05
CW500006,2024-06,TX,178,9086.9,51.05
CW500006,2024-06,MTN,207,10567.35,51.05
CW500006,2024-06,PSW,242,12354.1,51.05
CW500006,2024-06,PNW,198,10107.9,51.05
CW500006,2024-07,NE,224,11435.2,51.05
CW500006,2024-07,MA,268,13681.4,51.05
CW500006,2024-07,SE,166,8474.3,51.05
CW500006,2024-07,MW,150,7657.5,51.05
CW500006,2024-07,TX,170,8678.5,51.05
CW500006,2024-07,MTN,197,10056.85,51.05
CW500006,2024-07,PSW,243,12405.15,51.05
CW500006,2024-07,PNW,221,11282.05,51.05
CW500006,2024-08,NE,228,11639.4,51.05
CW500006,2024-08,MA,252,12864.6,51.05
CW500006,2024-08,SE,169,8627.45,51.05
CW500006,2024-08,MW,152,7759.6,51.05
CW500006,2024-08,TX,173,8831.65,51.05
CW500006,2024-08,MTN,175,8933.75,51.05
CW500006,2024-08,PSW,244,12456.2,51.05
CW500006,2024-08,PNW,202,10312.1,51.05
CW500006,2024-09,NE,188,9597.4,51.05
CW500006,2024-09,MA,205,10465.25,51.05
CW500006,2024-09,SE,145,7402.25,51.05
CW500006,2024-09,MW,136,6942.8,51.05
CW500006,2024-09,TX,151,7708.55,51.05
CW500006,2024-09,MTN,154,7861.7,51.05
CW500006,2024-09,PSW,216,11026.8,51.05
CW500006,2024-09,PNW,182,9291.1,51.05
CW500006,2024-10,NE,161,8219.05,51.05
CW500006,2024-10,MA,196,10005.8,51.05
CW500006,2024-10,SE,118,6023.9,51.05
CW500006,2024-10,MW,119,6074.95,51.05
CW500006,2024-10,TX,119,6074.95,51.05
CW500006,2024-10,MTN,152,7759.6,51.05
CW500006,2024-10,PSW,187,9546.35,51.05
CW500006,2024-10,PNW,150,7657.5,51.05
CW500006,2024-11,NE,163,8321.15,51.05
CW500006,2024-11,MA,176,8984.8,51.05
CW500006,2024-11,SE,108,5513.4,51.05
CW500006,2024-11,MW,112,5717.6,51.05
CW500006,2024-11,TX,111,5666.55,51.05
CW500006,2024-11,MTN,136,6942.8,51.05
CW500006,2024-11,PSW,165,8423.25,51.05
CW500006,2024-11,PNW,134,6840.7,51.05
CW500006,2024-12,NE,162,8270.1,51.05
CW500006,2024-12,MA,168,8576.4,51.05
CW500006,2024-12,SE,106,5411.3,51.05
CW500006,2024-12,MW,106,5411.3,51.05
CW500006,2024-12,TX,105,5360.25,51.05
CW500006,2024-12,MTN,118,6023.9,51.05
CW500006,2024-12,PSW,143,7300.15,51.05
CW500006,2024-12,PNW,138,7044.9,51.05
CW500006,2025-01,NE,166,8474.3,51.05
CW500006,2025-01,MA,162,8270.1,51.05
CW500006,2025-01,SE,108,5513.4,51.05
CW500006,2025-01,MW,102,5207.1,51.05
CW500006,2025-01,TX,86,5180.64,60.24
CW500006,2025-01,MTN,135,6891.75,51.05
CW500006,2025-01,PSW,151,7708.55,51.05
CW500006,2025-01,PNW,142,7249.1,51.05
CW500006,2025-02,NE,184,9393.2,51.05
CW500006,2025-02,MA,191,9750.55,51.05
CW500006,2025-02,SE,127,6483.35,51.05
CW500006,2025-02,MW,113,5768.65,51.05
CW500006,2025-02,TX,101,6084.24,60.24
CW500006,2025-02,MTN,151,7708.55,51.05
CW500006,2025-02,PSW,178,9086.9,51.05
CW500006,2025-02,PNW,144,7351.2,51.05
CW500006,2025-03,NE,194,9903.7,51.05
CW500006,2025-03,MA,241,12303.05,51.05
CW500006,2025-03,SE,142,7249.1,51.05
CW500006,2025-03,MW,132,6738.6,51.05
CW500006,2025-03,TX,152,7759.6,51.05
CW500006,2025-03,MTN,172,8780.6,51.05
CW500006,2025-03,PSW,193,9852.65,51.05
CW500006,2025-03,PNW,168,8576.4,51.05
CW500006,2025-04,NE,243,12405.15,51.05
CW500006,2025-04,MA,266,13579.3,51.05
CW500006,2025-04,SE,171,8729.55,51.05
CW500006,2025-04,MW,159,8116.95,51.05
CW500006,2025-04,TX,185,9444.25,51.05
CW500006,2025-04,MTN,191,9750.55,51.05
CW500006,2025-04,PSW,252,12864.6,51.05
CW500006,2025-04,PNW,211,10771.55,51.05
CW500006,2025-05,NE,246,12558.3,51.05
CW500006,2025-05,MA,292,14906.6,51.05
CW500006,2025-05,SE,170,8678.5,51.05
CW500006,2025-05,MW,176,8984.8,51.05
CW500006,2025-05,TX,172,8780.6,51.05
CW500006,2025-05,MTN,214,10924.7,51.05
CW500006,2025-05,PSW,267,13630.35,51.05
CW500006,2025-05,PNW,228,11639.4,51.05
CW500006,2025-06,NE,265,13528.25,51.05
CW500006,2025-06,MA,263,13426.15,51.05
CW500006,2025-06,SE,194,9903.7,51.05
CW500006,2025-06,MW,174,8882.7,51.05
CW500006,2025-06,TX,195,9954.75,51.05
CW500006,2025-06,MTN,209,10669.45,51.05
CW500006,2025-06,PSW,263,13426.15,51.05
CW500006,2025-06,PNW,232,11843.6,51.05
CW500006,2025-07,NE,271,13834.55,51.05
CW500006,2025-07,MA,260,13273.0,51.05
CW500006,2025-07,SE,169,8627.45,51.05
CW500006,2025-07,MW,168,8576.4,51.05
CW500006,2025-07,TX,179,9137.95,51.05
CW500006,2025-07,MTN,218,11128.9,51.05
CW500006,2025-07,PSW,249,12711.45,51.05
CW500006,2025-07,PNW,213,10873.65,51.05
CW500006,2025-08,NE,240,12252.0,51.05
CW500006,2025-08,MA,277,14140.85,51.05
CW500006,2025-08,SE,168,8576.4,51.05
CW500006,2025-08,MW,152,7759.6,51.05
CW500006,2025-08,TX,179,9137.95,51.05
CW500006,2025-08,MTN,199,10158.95,51.05
CW500006,2025-08,PSW,255,13017.75,51.05
CW500006,2025-08,PNW,206,10516.3,51.05
CW500006,2025-09,NE,209,10669.45,51.05
CW500006,2025-09,MA,232,11843.6,51.05
CW500006,2025-09,SE,162,8270.1,51.05
CW500006,2025-09,MW,130,6636.5,51.05
CW500006,2025-09,TX,169,8627.45,51.05
CW500006,2025-09,MTN,182,9291.1,51.05
CW500006,2025-09,PSW,221,11282.05,51.05
CW500006,2025-09,PNW,195,9954.75,51.05
CW500006,2025-10,NE,182,9291.1,51.05
CW500006,2025-10,MA,188,9597.4,51.05
CW500006,2025-10,SE,125,6381.25,51.05
CW500006,2025-10,MW,118,6023.9,51.05
CW500006,2025-10,TX,134,6840.7,51.05
CW500006,2025-10,MTN,164,8372.2,51.05
CW500006,2025-10,PSW,187,9546.35,51.05
CW500006,2025-10,PNW,151,7708.55,51.05
CW500006,2025-11,NE,173,8831.65,51.05
CW500006,2025-11,MA,185,9444.25,51.05
CW500006,2025-11,SE,128,6534.4,51.05
CW500006,2025-11,MW,103,5258.15,51.05
CW500006,2025-11,TX,116,5921.8,51.05
CW500006,2025-11,MTN,141,7198.05,51.05
CW500006,2025-11,PSW,167,8525.35,51.05
CW500006,2025-11,PNW,138,7044.9,51.05
CW500006,2025-12,NE,162,8270.1,51.05
CW500006,2025-12,MA,183,9342.15,51.05
CW500006,2025-12,SE,122,6228.1,51.05
CW500006,2025-12,MW,108,5513.4,51.05
CW500006,2025-12,TX,111,5666.55,51.05
CW500006,2025-12,MTN,139,7095.95,51.05
CW500006,2025-12,PSW,160,8168.0,51.05
CW500006,2025-12,PNW,151,7708.55,51.05
CW500009,2024-01,NE,65,12257.7,188.58
CW500009,2024-01,MA,66,12446.28,188.58
CW500009,2024-01,SE,53,9994.74,188.58
CW500009,2024-01,MW,65,12257.7,188.58
CW500009,2024-01,TX,47,8863.26,188.58
CW500009,2024-01,MTN,64,12069.12,188.58
CW500009,2024-01,PSW,60,11314.8,188.58
CW500009,2024-01,PNW,67,12634.86,188.58
CW500009,2024-02,NE,70,13200.6,188.58
CW500009,2024-02,MA,74,13954.92,188.58
CW500009,2024-02,SE,59,11126.22,188.58
CW500009,2024-02,MW,74,13954.92,188.58
CW500009,2024-02,TX,48,9051.84,188.58
CW500009,2024-02,MTN,73,13766.34,188.58
CW500009,2024-02,PSW,72,13577.76,188.58
CW500009,2024-02,PNW,69,13012.02,188.58
CW500009,2024-03,NE,91,17160.78,188.58
CW500009,2024-03,MA,82,15463.56,188.58
CW500009,2024-03,SE,72,13577.76,188.58
CW500009,2024-03,MW,84,15840.72,188.58
CW500009,2024-03,TX,57,10749.06,188.58
CW500009,2024-03,MTN,77,14520.66,188.58
CW500009,2024-03,PSW,76,14332.08,188.58
CW500009,2024-03,PNW,80,15086.4,188.58
CW500009,2024-04,NE,93,17537.94,188.58
CW500009,2024-04,MA,98,18480.84,188.58
CW500009,2024-04,SE,77,14520.66,188.58
CW500009,2024-04,MW,92,17349.36,188.58
CW500009,2024-04,TX,68,12823.44,188.58
CW500009,2024-04,MTN,92,17349.36,188.58
CW500009,2024-04,PSW,85,16029.3,188.58
CW500009,2024-04,PNW,103,19423.74,188.58
CW500009,2024-05,NE,108,20366.64,188.58
CW500009,2024-05,MA,100,18858.0,188.58
CW500009,2024-05,SE,82,15463.56,188.58
CW500009,2024-05,MW,106,19989.48,188.58
CW500009,2024-05,TX,66,12446.28,188.58
CW500009,2024-05,MTN,103,19423.74,188.58
CW500009,2024-05,PSW,103,19423.74,188.58
CW500009,2024-05,PNW,96,18103.68,188.58
CW500009,2024-06,NE,105,19800.9,188.58
CW500009,2024-06,MA,99,18669.42,188.58
CW500009,2024-06,SE,93,17537.94,188.58
CW500009,2024-06,MW,108,20366.64,188.58
CW500009,2024-06,TX,75,14143.5,188.58
CW500009,2024-06,MTN,106,19989.48,188.58
CW500009,2024-06,PSW,99,18669.42,188.58
CW500009,2024-06,PNW,101,19046.58,188.58
CW500009,2024-07,NE,99,18669.42,188.58
CW500009,2024-07,MA,99,18669.42,188.58
CW500009,2024-07,SE,90,16972.2,188.58
CW500009,2024-07,MW,107,20178.06,188.58
CW500009,2024-07,TX,75,14143.5,188.58
CW500009,2024-07,MTN,98,18480.84,188.58
CW500009,2024-07,PSW,99,18669.42,188.58
CW500009,2024-07,PNW,99,18669.42,188.58
CW500009,2024-08,NE,97,18292.26,188.58
CW500009,2024-08,MA,93,17537.94,188.58
CW500009,2024-08,SE,84,15840.72,188.58
CW500009,2024-08,MW,103,19423.74,188.58
CW500009,2024-08,TX,70,13200.6,188.58
CW500009,2024-08,MTN,87,16406.46,188.58
CW500009,2024-08,PSW,90,16972.2,188.58
CW500009,2024-08,PNW,98,18480.84,188.58
CW500009,2024-09,NE,86,16217.88,188.58
CW500009,2024-09,MA,92,17349.36,188.58
CW500009,2024-09,SE,70,13200.6,188.58
CW500009,2024-09,MW,81,15274.98,188.58
CW500009,2024-09,TX,59,11126.22,188.58
CW500009,2024-09,MTN,86,16217.88,188.58
CW500009,2024-09,PSW,84,15840.72,188.58
CW500009,2024-09,PNW,87,16406.46,188.58
CW500009,2024-10,NE,80,15086.4,188.58
CW500009,2024-10,MA,73,13766.34,188.58
CW500009,2024-10,SE,60,11314.8,188.58
CW500009,2024-10,MW,78,14709.24,188.58
CW500009,2024-10,TX,51,9617.58,188.58
CW500009,2024-10,MTN,69,13012.02,188.58
CW500009,2024-10,PSW,71,13389.18,188.58
CW500009,2024-10,PNW,81,15274.98,188.58
CW500009,2024-11,NE,65,12257.7,188.58
CW500009,2024-11,MA,68,12823.44,188.58
CW500009,2024-11,SE,58,10937.64,188.58
CW500009,2024-11,MW,73,13766.34,188.58
CW500009,2024-11,TX,48,9051.84,188.58
CW500009,2024-11,MTN,62,11691.96,188.58
CW500009,2024-11,PSW,66,12446.28,188.58
CW500009,2024-11,PNW,73,13766.34,188.58
CW500009,2024-12,NE,64,12069.12,188.58
CW500009,2024-12,MA,62,11691.96,188.58
CW500009,2024-12,SE,51,9617.58,188.58
CW500009,2024-12,MW,68,12823.44,188.58
CW500009,2024-12,TX,45,8486.1,188.58
CW500009,2024-12,MTN,65,12257.7,188.58
CW500009,2024-12,PSW,60,11314.8,188.58
CW500009,2024-12,PNW,70,13200.6,188.58
CW500009,2025-01,NE,70,13200.6,188.58
CW500009,2025-01,MA,73,13766.34,188.58
CW500009,2025-01,SE,59,11126.22,188.58
CW500009,2025-01,MW,73,13766.34,188.58
CW500009,2025-01,TX,36,8010.72,222.52
CW500009,2025-01,MTN,62,11691.96,188.58
CW500009,2025-01,PSW,62,11691.96,188.58
CW500009,2025-01,PNW,67,12634.86,188.58
CW500009,2025-02,NE,74,13954.92,188.58
CW500009,2025-02,MA,82,15463.56,188.58
CW500009,2025-02,SE,70,13200.6,188.58
CW500009,2025-02,MW,79,14897.82,188.58
CW500009,2025-02,TX,41,9123.32,222.52
CW500009,2025-02,MTN,77,14520.66,188.58
CW500009,2025-02,PSW,76,14332.08,188.58
CW500009,2025-02,PNW,80,15086.4,188.58
CW500009,2025-03,NE,98,18480.84,188.58
CW500009,2025-03,MA,92,17349.36,188.58
CW500009,2025-03,SE,69,13012.02,188.58
CW500009,2025-03,MW,84,15840.72,188.58
CW500009,2025-03,TX,59,11126.22,188.58
CW500009,2025-03,MTN,89,16783.62,188.58
CW500009,2025-03,PSW,87,16406.46,188.58
CW500009,2025-03,PNW,96,18103.68,188.58
CW500009,2025-04,NE,98,18480.84,188.58
CW500009,2025-04,MA,103,19423.74,188.58
CW500009,2025-04,SE,90,16972.2,188.58
CW500009,2025-04,MW,104,19612.32,188.58
CW500009,2025-04,TX,69,13012.02,188.58
CW500009,2025-04,MTN,98,18480.84,188.58
CW500009,2025-04,PSW,93,17537.94,188.58
CW500009,2025-04,PNW,109,20555.22,188.58
CW500009,2025-05,NE,107,20178.06,188.58
CW500009,2025-05,MA,103,19423.74,188.58
CW500009,2025-05,SE,94,17726.52,188.58
CW500009,2025-05,MW,119,22441.02,188.58
CW500009,2025-05,TX,74,13954.92,188.58
CW500009,2025-05,MTN,105,19800.9,188.58
CW500009,2025-05,PSW,101,19046.58,188.58
CW500009,2025-05,PNW,102,19235.16,188.58
CW500009,2025-06,NE,122,23006.76,188.58
CW500009,2025-06,MA,114,21498.12,188.58
CW500009,2025-06,SE,101,19046.58,188.58
CW500009,2025-06,MW,121,22818.18,188.58
CW500009,2025-06,TX,73,13766.34,188.58
CW500009,2025-06,MTN,103,19423.74,188.58
CW500009,2025-06,PSW,115,21686.7,188.58
CW500009,2025-06,PNW,110,20743.8,188.58
CW500009,2025-07,NE,110,20743.8,188.58
CW500009,2025-07,MA,116,21875.28,188.58
CW500009,2025-07,SE,99,18669.42,188.58
CW500009,2025-07,MW,120,22629.6,188.58
CW500009,2025-07,TX,69,13012.02,188.58
CW500009,2025-07,MTN,104,19612.32,188.58
CW500009,2025-07,PSW,101,19046.58,188.58
CW500009,2025-07,PNW,118,22252.44,188.58
CW500009,2025-08,NE,104,19612.32,188.58
CW500009,2025-08,MA,106,19989.48,188.58
CW500009,2025-08,SE,87,16406.46,188.58
CW500009,2025-08,MW,111,20932.38,188.58
CW500009,2025-08,TX,73,13766.34,188.58
CW500009,2025-08,MTN,92,17349.36,188.58
CW500009,2025-08,PSW,98,18480.84,188.58
CW500009,2025-08,PNW,111,20932.38,188.58
CW500009,2025-09,NE,93,17537.94,188.58
CW500009,2025-09,MA,94,17726.52,188.58
CW500009,2025-09,SE,75,14143.5,188.58
CW500009,2025-09,MW,87,16406.46,188.58
CW500009,2025-09,TX,64,12069.12,188.58
CW500009,2025-09,MTN,85,16029.3,188.58
CW500009,2025-09,PSW,88,16595.04,188.58
CW500009,2025-09,PNW,87,16406.46,188.58
CW500009,2025-10,NE,82,15463.56,188.58
CW500009,2025-10,MA,75,14143.5,188.58
CW500009,2025-10,SE,64,12069.12,188.58
CW500009,2025-10,MW,88,16595.04,188.58
CW500009,2025-10,TX,55,10371.9,188.58
CW500009,2025-10,MTN,72,13577.76,188.58
CW500009,2025-10,PSW,78,14709.24,188.58
CW500009,2025-10,PNW,78,14709.24,188.58
CW500009,2025-11,NE,73,13766.34,188.58
CW500009,2025-11,MA,73,13766.34,188.58
CW500009,2025-11,SE,66,12446.28,188.58
CW500009,2025-11,MW,69,13012.02,188.58
CW500009,2025-11,TX,46,8674.68,188.58
CW500009,2025-11,MTN,69,13012.02,188.58
CW500009,2025-11,PSW,72,13577.76,188.58
CW500009,2025-11,PNW,68,12823.44,188.58
CW500009,2025-12,NE,74,13954.92,188.58
CW500009,2025-12,MA,72,13577.76,188.58
