CHEWY_PRODUCT_PART_NUMBER,reporting_week_month,region,fill_rate,on_hand_units,forecast_units
CW500003,2024-10,SE,0.97,90,77
CW500003,2024-10,MW,0.993,76,56
CW500003,2024-10,TX,0.966,117,71
CW500003,2024-10,MTN,0.967,71,81
CW500003,2024-10,PSW,0.945,76,70
CW500003,2024-10,PNW,0.938,54,70
CW500003,2024-11,NE,0.945,89,53
CW500003,2024-11,MA,0.988,88,48
CW500003,2024-11,SE,0.944,87,65
CW500003,2024-11,MW,0.938,47,51
CW500003,2024-11,TX,0.961,99,60
CW500003,2024-11,MTN,0.992,114,65
CW500003,2024-11,PSW,0.947,102,60
CW500003,2024-11,PNW,0.938,101,67
CW500003,2024-12,NE,0.961,40,51
CW500003,2024-12,MA,0.988,77,43
CW500003,2024-12,SE,0.947,67,71
CW500003,2024-12,MW,0.971,52,46
CW500003,2024-12,TX,0.964,39,60
CW500003,2024-12,MTN,0.969,100,64
CW500003,2024-12,PSW,0.965,39,59
CW500003,2024-12,PNW,0.96,90,61
CW500003,2025-01,NE,0.94,46,56
CW500003,2025-01,MA,0.996,26,49
CW500003,2025-01,SE,0.976,61,66
CW500003,2025-01,MW,0.931,32,53
CW500003,2025-01,TX,0.984,78,45
CW500003,2025-01,MTN,0.982,96,74
CW500003,2025-01,PSW,0.968,79,65
CW500003,2025-01,PNW,0.942,114,64
CW500003,2025-02,NE,0.935,95,57
CW500003,2025-02,MA,0.975,42,53
CW500003,2025-02,SE,0.945,100,77
CW500003,2025-02,MW,0.977,108,58
CW500003,2025-02,TX,0.974,35,51
CW500003,2025-02,MTN,0.961,64,85
CW500003,2025-02,PSW,0.976,115,68
CW500003,2025-02,PNW,0.974,54,74
CW500003,2025-03,NE,0.982,104,69
CW500003,2025-03,MA,0.985,68,67
CW500003,2025-03,SE,0.93,128,88
CW500003,2025-03,MW,0.945,34,68
CW500003,2025-03,TX,0.968,104,81
CW500003,2025-03,MTN,0.959,151,93
CW500003,2025-03,PSW,0.981,142,78
CW500003,2025-03,PNW,0.957,148,88
CW500003,2025-04,NE,0.956,124,78
CW500003,2025-04,MA,0.96,117,67
CW500003,2025-04,SE,0.991,119,103
CW500003,2025-04,MW,0.936,121,73
CW500003,2025-04,TX,0.948,164,97
CW500003,2025-04,MTN,0.99,206,107
CW500003,2025-04,PSW,0.944,169,92
CW500003,2025-04,PNW,0.995,87,84
CW500003,2025-05,NE,0.969,146,76
CW500003,2025-05,MA,0.939,60,77
CW500003,2025-05,SE,0.995,122,107
CW500003,2025-05,MW,0.956,144,83
CW500003,2025-05,TX,0.993,67,105
CW500003,2025-05,MTN,0.986,118,109
CW500003,2025-05,PSW,0.954,145,94
CW500003,2025-05,PNW,0.935,72,100
CW500003,2025-06,NE,0.971,99,89
CW500003,2025-06,MA,0.947,141,83
CW500003,2025-06,SE,0.985,94,113
CW500003,2025-06,MW,0.965,108,81
CW500003,2025-06,TX,0.931,144,118
CW500003,2025-06,MTN,0.972,219,122
CW500003,2025-06,PSW,0.939,188,109
CW500003,2025-06,PNW,0.991,89,98
CW500003,2025-07,NE,0.969,116,77
CW500003,2025-07,MA,0.954,92,84
CW500003,2025-07,SE,0.955,133,120
CW500003,2025-07,MW,0.984,106,76
CW500003,2025-07,TX,0.993,200,101
CW500003,2025-07,MTN,0.932,206,112
CW500003,2025-07,PSW,0.979,186,102
CW500003,2025-07,PNW,0.961,80,107
CW500003,2025-08,NE,0.984,59,75
CW500003,2025-08,MA,0.948,95,75
CW500003,2025-08,SE,0.958,72,103
CW500003,2025-08,MW,0.951,49,77
CW500003,2025-08,TX,0.978,126,102
CW500003,2025-08,MTN,0.997,177,104
CW500003,2025-08,PSW,0.955,100,96
CW500003,2025-08,PNW,0.975,45,91
CW500003,2025-09,NE,0.942,73,70
CW500003,2025-09,MA,0.931,124,70
CW500003,2025-09,SE,0.979,150,84
CW500003,2025-09,MW,0.96,114,62
CW500003,2025-09,TX,0.998,73,78
CW500003,2025-09,MTN,0.948,160,94
CW500003,2025-09,PSW,0.959,63,83
CW500003,2025-09,PNW,0.97,66,88
CW500003,2025-10,NE,0.938,40,60
CW500003,2025-10,MA,0.968,43,58
CW500003,2025-10,SE,0.989,86,83
CW500003,2025-10,MW,0.97,65,59
CW500003,2025-10,TX,0.931,40,79
CW500003,2025-10,MTN,0.935,47,90
CW500003,2025-10,PSW,0.943,121,75
CW500003,2025-10,PNW,0.959,76,71
CW500003,2025-11,NE,0.973,44,52
CW500003,2025-11,MA,0.987,35,52
CW500003,2025-11,SE,0.935,153,82
CW500003,2025-11,MW,0.968,38,52
CW500003,2025-11,TX,0.961,61,73
CW500003,2025-11,MTN,0.933,47,73
CW500003,2025-11,PSW,0.987,110,61
CW500003,2025-11,PNW,0.977,96,69
CW500003,2025-12,NE,0.942,64,57
CW500003,2025-12,MA,0.988,23,47
CW500003,2025-12,SE,0.998,108,65
CW500003,2025-12,MW,0.941,83,49
CW500003,2025-12,TX,0.947,89,67
CW500003,2025-12,MTN,0.997,54,74
CW500003,2025-12,PSW,0.953,41,58
CW500003,2025-12,PNW,0.938,41,63
CW500006,2024-01,NE,0.964,101,143
CW500006,2024-01,MA,0.946,330,176
CW500006,2024-01,SE,0.972,149,107
CW500006,2024-01,MW,0.941,99,111
CW500006,2024-01,TX,0.942,145,116
CW500006,2024-01,MTN,0.951,190,122
CW500006,2024-01,PSW,0.939,310,166
CW500006,2024-01,PNW,0.973,220,130
CW500006,2024-02,NE,0.949,153,187
CW500006,2024-02,MA,0.954,158,185
CW500006,2024-02,SE,0.997,225,129
CW500006,2024-02,MW,0.934,83,115
CW500006,2024-02,TX,0.948,61,122
CW500006,2024-02,MTN,0.943,192,132
CW500006,2024-02,PSW,0.984,231,158
CW500006,2024-02,PNW,0.993,188,152
CW500006,2024-03,NE,0.974,179,203
CW500006,2024-03,MA,0.997,403,218
CW500006,2024-03,SE,0.992,190,137
CW500006,2024-03,MW,0.976,123,136
CW500006,2024-03,TX,1.0,167,140
CW500006,2024-03,MTN,0.97,161,161
CW500006,2024-03,PSW,0.949,130,201
CW500006,2024-03,PNW,0.968,155,161
CW500006,2024-04,NE,0.967,205,231
CW500006,2024-04,MA,0.935,434,243
CW500006,2024-04,SE,0.962,244,165
CW500006,2024-04,MW,0.957,121,150
CW500006,2024-04,TX,0.952,217,170
CW500006,2024-04,MTN,0.947,226,172
CW500006,2024-04,PSW,0.972,146,242
CW500006,2024-04,PNW,0.999,242,200
CW500006,2024-05,NE,0.945,447,241
CW500006,2024-05,MA,0.96,249,279
CW500006,2024-05,SE,0.933,143,182
CW500006,2024-05,MW,0.949,169,174
CW500006,2024-05,TX,0.945,235,196
CW500006,2024-05,MTN,0.953,141,197
CW500006,2024-05,PSW,0.965,421,267
CW500006,2024-05,PNW,0.978,324,204
CW500006,2024-06,NE,0.994,438,261
CW500006,2024-06,MA,0.969,151,271
CW500006,2024-06,SE,0.948,139,175
CW500006,2024-06,MW,0.986,172,161
CW500006,2024-06,TX,0.993,323,179
CW500006,2024-06,MTN,0.951,142,217
CW500006,2024-06,PSW,0.941,275,257
CW500006,2024-06,PNW,0.976,195,202
CW500006,2024-07,NE,0.993,239,225
CW500006,2024-07,MA,0.931,293,287
CW500006,2024-07,SE,0.983,246,168
CW500006,2024-07,MW,0.966,131,155
CW500006,2024-07,TX,0.998,156,170
CW500006,2024-07,MTN,0.966,116,203
CW500006,2024-07,PSW,0.999,232,243
CW500006,2024-07,PNW,0.944,302,234
CW500006,2024-08,NE,0.973,264,234
CW500006,2024-08,MA,0.934,223,269
CW500006,2024-08,SE,0.996,264,169
CW500006,2024-08,MW,0.954,209,159
CW500006,2024-08,TX,0.981,211,176
CW500006,2024-08,MTN,0.999,286,175
CW500006,2024-08,PSW,0.967,240,252
CW500006,2024-08,PNW,0.936,387,215
CW500006,2024-09,NE,0.931,363,201
CW500006,2024-09,MA,0.993,106,206
CW500006,2024-09,SE,0.971,250,149
CW500006,2024-09,MW,0.959,203,141
CW500006,2024-09,TX,0.932,91,161
CW500006,2024-09,MTN,0.944,181,163
CW500006,2024-09,PSW,0.947,145,227
CW500006,2024-09,PNW,0.98,175,185
CW500006,2024-10,NE,0.964,234,166
CW500006,2024-10,MA,0.94,130,208
CW500006,2024-10,SE,0.951,155,124
CW500006,2024-10,MW,0.941,189,126
CW500006,2024-10,TX,0.986,224,120
CW500006,2024-10,MTN,0.976,172,155
CW500006,2024-10,PSW,0.985,218,189
CW500006,2024-10,PNW,0.977,287,153
CW500006,2024-11,NE,0.953,298,170
CW500006,2024-11,MA,0.956,323,184
CW500006,2024-11,SE,0.993,180,108
CW500006,2024-11,MW,0.949,173,117
CW500006,2024-11,TX,0.998,85,111
CW500006,2024-11,MTN,0.962,176,141
CW500006,2024-11,PSW,0.979,192,168
CW500006,2024-11,PNW,0.992,81,135
CW500006,2024-12,NE,0.935,91,173
CW500006,2024-12,MA,0.94,321,178
CW500006,2024-12,SE,0.937,84,113
CW500006,2024-12,MW,0.984,79,107
CW500006,2024-12,TX,0.946,115,111
CW500006,2024-12,MTN,0.955,87,123
CW500006,2024-12,PSW,0.967,190,147
CW500006,2024-12,PNW,0.952,170,144
CW500006,2025-01,NE,0.93,272,178
CW500006,2025-01,MA,0.943,128,171
CW500006,2025-01,SE,0.942,151,114
CW500006,2025-01,MW,0.951,131,107
CW500006,2025-01,TX,1.0,96,86
CW500006,2025-01,MTN,0.989,77,136
CW500006,2025-01,PSW,0.947,85,159
CW500006,2025-01,PNW,0.933,221,152
CW500006,2025-02,NE,0.945,175,194
CW500006,2025-02,MA,0.991,192,192
CW500006,2025-02,SE,0.935,103,135
CW500006,2025-02,MW,0.934,103,121
CW500006,2025-02,TX,0.982,77,102
CW500006,2025-02,MTN,0.963,222,156
CW500006,2025-02,PSW,0.939,279,189
CW500006,2025-02,PNW,0.939,160,153
CW500006,2025-03,NE,0.979,192,198
CW500006,2025-03,MA,0.944,138,255
CW500006,2025-03,SE,0.972,276,146
CW500006,2025-03,MW,0.984,199,134
CW500006,2025-03,TX,0.98,164,155
CW500006,2025-03,MTN,0.946,277,181
CW500006,2025-03,PSW,0.978,173,197
CW500006,2025-03,PNW,0.966,252,173
CW500006,2025-04,NE,0.942,194,257
CW500006,2025-04,MA,0.939,437,283
CW500006,2025-04,SE,0.937,208,182
CW500006,2025-04,MW,0.954,190,166
CW500006,2025-04,TX,0.954,355,193
CW500006,2025-04,MTN,0.933,139,204
CW500006,2025-04,PSW,0.996,272,253
CW500006,2025-04,PNW,0.944,264,223
CW500006,2025-05,NE,0.992,258,248
CW500006,2025-05,MA,0.982,428,297
CW500006,2025-05,SE,0.953,259,178
CW500006,2025-05,MW,0.943,211,186
CW500006,2025-05,TX,0.982,100,175
CW500006,2025-05,MTN,0.954,108,224
CW500006,2025-05,PSW,0.945,220,282
CW500006,2025-05,PNW,0.933,243,244
CW500006,2025-06,NE,0.968,302,273
CW500006,2025-06,MA,0.94,422,279
CW500006,2025-06,SE,0.965,382,201
CW500006,2025-06,MW,0.935,321,186
CW500006,2025-06,TX,0.938,239,207
CW500006,2025-06,MTN,0.979,203,213
CW500006,2025-06,PSW,0.959,406,274
CW500006,2025-06,PNW,0.974,163,238
CW500006,2025-07,NE,0.944,448,287
CW500006,2025-07,MA,0.951,305,273
CW500006,2025-07,SE,0.962,321,175
CW500006,2025-07,MW,0.954,153,176
CW500006,2025-07,TX,0.973,100,183
CW500006,2025-07,MTN,0.937,259,232
CW500006,2025-07,PSW,0.97,156,256
CW500006,2025-07,PNW,0.963,414,221
CW500006,2025-08,NE,0.978,421,245
CW500006,2025-08,MA,0.99,429,279
CW500006,2025-08,SE,0.948,218,177
CW500006,2025-08,MW,0.983,228,154
CW500006,2025-08,TX,0.994,178,180
CW500006,2025-08,MTN,0.997,176,199
CW500006,2025-08,PSW,0.98,478,260
CW500006,2025-08,PNW,0.951,411,216
CW500006,2025-09,NE,0.942,256,221
CW500006,2025-09,MA,0.95,402,244
CW500006,2025-09,SE,0.955,223,169
CW500006,2025-09,MW,0.98,146,132
CW500006,2025-09,TX,0.982,136,172
CW500006,2025-09,MTN,0.956,204,190
CW500006,2025-09,PSW,0.965,155,229
CW500006,2025-09,PNW,0.957,385,203
CW500006,2025-10,NE,0.956,350,190
CW500006,2025-10,MA,0.975,324,192
CW500006,2025-10,SE,0.995,84,125
CW500006,2025-10,MW,0.959,92,123
CW500006,2025-10,TX,0.969,205,138
CW500006,2025-10,MTN,0.972,138,168
CW500006,2025-10,PSW,0.967,102,193
CW500006,2025-10,PNW,0.958,101,157
CW500006,2025-11,NE,0.949,182,182
CW500006,2025-11,MA,0.993,352,186
CW500006,2025-11,SE,0.982,105,130
CW500006,2025-11,MW,0.967,167,106
CW500006,2025-11,TX,0.944,139,122
CW500006,2025-11,MTN,0.961,165,146
CW500006,2025-11,PSW,0.975,258,171
CW500006,2025-11,PNW,0.932,131,148
CW500006,2025-12,NE,0.981,284,165
CW500006,2025-12,MA,0.949,110,192
CW500006,2025-12,SE,0.946,239,128
CW500006,2025-12,MW,0.973,196,110
CW500006,2025-12,TX,0.976,128,113
CW500006,2025-12,MTN,0.936,253,148
CW500006,2025-12,PSW,0.962,250,166
CW500006,2025-12,PNW,0.953,90,158
CW500009,2024-01,NE,0.956,122,67
CW500009,2024-01,MA,0.998,35,66
CW500009,2024-01,SE,0.964,70,54
CW500009,2024-01,MW,0.956,105,67
CW500009,2024-01,TX,0.985,91,47
CW500009,2024-01,MTN,0.93,37,68
CW500009,2024-01,PSW,0.949,109,63
CW500009,2024-01,PNW,0.956,126,70
CW500009,2024-02,NE,0.985,75,71
CW500009,2024-02,MA,0.974,145,75
CW500009,2024-02,SE,0.985,108,59
CW500009,2024-02,MW,0.94,46,78
CW500009,2024-02,TX,0.963,65,49
CW500009,2024-02,MTN,0.972,58,75
CW500009,2024-02,PSW,0.987,103,72
CW500009,2024-02,PNW,0.958,74,72
CW500009,2024-03,NE,0.963,116,94
CW500009,2024-03,MA,0.981,84,83
CW500009,2024-03,SE,0.961,134,74
CW500009,2024-03,MW,0.988,111,84
CW500009,2024-03,TX,0.955,69,59
CW500009,2024-03,MTN,0.959,132,80
CW500009,2024-03,PSW,0.996,104,76
CW500009,2024-03,PNW,0.967,69,82
CW500009,2024-04,NE,0.974,162,95
CW500009,2024-04,MA,0.945,173,103
CW500009,2024-04,SE,0.949,45,81
CW500009,2024-04,MW,0.96,90,95
CW500009,2024-04,TX,0.985,72,69
CW500009,2024-04,MTN,0.942,56,97
CW500009,2024-04,PSW,0.963,162,88
CW500009,2024-04,PNW,0.958,78,107
CW500009,2024-05,NE,0.95,136,113
CW500009,2024-05,MA,0.947,138,105
CW500009,2024-05,SE,0.936,157,87
CW500009,2024-05,MW,0.984,178,107
CW500009,2024-05,TX,0.99,81,66
CW500009,2024-05,MTN,0.95,135,108
CW500009,2024-05,PSW,0.954,167,108
CW500009,2024-05,PNW,0.983,150,97
CW500009,2024-06,NE,0.99,168,106
CW500009,2024-06,MA,0.934,115,105
CW500009,2024-06,SE,0.939,107,99
CW500009,2024-06,MW,0.983,154,109
CW500009,2024-06,TX,0.984,138,76
CW500009,2024-06,MTN,0.986,186,107
CW500009,2024-06,PSW,0.989,76,100
CW500009,2024-06,PNW,0.93,54,108
CW500009,2024-07,NE,0.948,51,104
CW500009,2024-07,MA,0.974,103,101
CW500009,2024-07,SE,0.979,154,91
CW500009,2024-07,MW,0.947,109,112
CW500009,2024-07,TX,0.953,55,78
CW500009,2024-07,MTN,0.973,187,100
CW500009,2024-07,PSW,0.999,152,99
CW500009,2024-07,PNW,0.932,65,106
CW500009,2024-08,NE,0.966,148,100
CW500009,2024-08,MA,0.967,165,96
CW500009,2024-08,SE,0.939,111,89
CW500009,2024-08,MW,0.994,52,103
CW500009,2024-08,TX,0.96,70,72
CW500009,2024-08,MTN,0.974,82,89
CW500009,2024-08,PSW,0.958,60,93
CW500009,2024-08,PNW,0.962,156,101
CW500009,2024-09,NE,0.944,168,91
CW500009,2024-09,MA,0.931,65,98
CW500009,2024-09,SE,0.974,118,71
CW500009,2024-09,MW,0.975,115,83
CW500009,2024-09,TX,0.939,33,62
CW500009,2024-09,MTN,0.955,54,90
CW500009,2024-09,PSW,0.967,114,86
CW500009,2024-09,PNW,0.976,51,89
CW500009,2024-10,NE,0.945,95,84
CW500009,2024-10,MA,0.941,141,77
CW500009,2024-10,SE,0.971,62,61
CW500009,2024-10,MW,0.987,91,79
CW500009,2024-10,TX,0.963,87,52
CW500009,2024-10,MTN,0.965,114,71
CW500009,2024-10,PSW,0.974,87,72
CW500009,2024-10,PNW,0.939,108,86
CW500009,2024-11,NE,0.931,92,69
CW500009,2024-11,MA,0.981,84,69
CW500009,2024-11,SE,0.964,114,60
CW500009,2024-11,MW,0.986,62,74
CW500009,2024-11,TX,0.945,60,50
CW500009,2024-11,MTN,0.95,114,65
CW500009,2024-11,PSW,0.995,124,66
CW500009,2024-11,PNW,0.939,111,77
CW500009,2024-12,NE,0.95,81,67
CW500009,2024-12,MA,0.935,118,66
CW500009,2024-12,SE,0.958,26,53
CW500009,2024-12,MW,0.972,99,69
CW500009,2024-12,TX,0.954,30,47
CW500009,2024-12,MTN,0.934,60,69
CW500009,2024-12,PSW,0.992,74,60
CW500009,2024-12,PNW,0.957,72,73
CW500009,2025-01,NE,0.963,86,72
CW500009,2025-01,MA,0.95,76,76
CW500009,2025-01,SE,0.974,110,60
CW500009,2025-01,MW,0.937,145,77
CW500009,2025-01,TX,0.952,39,37
CW500009,2025-01,MTN,0.961,119,64
CW500009,2025-01,PSW,0.954,62,65
CW500009,2025-01,PNW,0.99,114,67
CW500009,2025-02,NE,0.947,79,78
CW500009,2025-02,MA,0.942,139,87
CW500009,2025-02,SE,0.978,106,71
CW500009,2025-02,MW,0.991,102,79
CW500009,2025-02,TX,0.962,37,42
CW500009,2025-02,MTN,0.951,39,80
CW500009,2025-02,PSW,0.981,40,77
CW500009,2025-02,PNW,0.972,67,82
CW500009,2025-03,NE,0.946,168,103
CW500009,2025-03,MA,0.97,110,94
CW500009,2025-03,SE,0.98,86,70
CW500009,2025-03,MW,0.994,78,84
CW500009,2025-03,TX,0.934,63,63
CW500009,2025-03,MTN,0.986,170,90
CW500009,2025-03,PSW,0.96,156,90
CW500009,2025-03,PNW,0.966,89,99
CW500009,2025-04,NE,0.96,100,102
CW500009,2025-04,MA,0.946,167,108
CW500009,2025-04,SE,0.988,134,91
CW500009,2025-04,MW,0.943,103,110
CW500009,2025-04,TX,0.939,47,73
CW500009,2025-04,MTN,0.978,188,100
CW500009,2025-04,PSW,0.982,143,94
CW500009,2025-04,PNW,0.935,142,116
CW500009,2025-05,NE,0.981,126,109
CW500009,2025-05,MA,0.939,137,109
CW500009,2025-05,SE,0.971,170,96
CW500009,2025-05,MW,0.937,128,127
CW500009,2025-05,TX,0.94,137,78
CW500009,2025-05,MTN,0.944,56,111
CW500009,2025-05,PSW,0.983,54,102
CW500009,2025-05,PNW,0.933,121,109
CW500009,2025-06,NE,0.98,150,124
CW500009,2025-06,MA,0.949,126,120
CW500009,2025-06,SE,0.991,156,101
CW500009,2025-06,MW,0.954,93,126
CW500009,2025-06,TX,0.938,137,77
CW500009,2025-06,MTN,0.988,190,104
CW500009,2025-06,PSW,0.967,163,118
CW500009,2025-06,PNW,0.994,65,110
CW500009,2025-07,NE,0.986,157,111
CW500009,2025-07,MA,0.985,193,117
CW500009,2025-07,SE,0.937,81,105
CW500009,2025-07,MW,0.946,224,126
CW500009,2025-07,TX,0.966,120,71
CW500009,2025-07,MTN,0.943,86,110
CW500009,2025-07,PSW,0.947,60,106
CW500009,2025-07,PNW,0.964,189,122
CW500009,2025-08,NE,0.962,138,108
CW500009,2025-08,MA,0.972,98,109
CW500009,2025-08,SE,0.936,132,92
CW500009,2025-08,MW,0.973,61,114
CW500009,2025-08,TX,0.982,123,74
CW500009,2025-08,MTN,0.956,68,96
CW500009,2025-08,PSW,0.992,186,98
CW500009,2025-08,PNW,0.933,117,119
CW500009,2025-09,NE,0.98,120,94
CW500009,2025-09,MA,0.947,125,99
CW500009,2025-09,SE,0.94,38,79
CW500009,2025-09,MW,0.943,100,92
CW500009,2025-09,TX,0.982,127,65
CW500009,2025-09,MTN,0.987,140,86
CW500009,2025-09,PSW,0.942,101,93
CW500009,2025-09,PNW,0.988,166,88
CW500009,2025-10,NE,0.946,155,86
CW500009,2025-10,MA,0.942,142,79
CW500009,2025-10,SE,0.953,125,67
CW500009,2025-10,MW,0.971,44,90
CW500009,2025-10,TX,0.939,81,58
CW500009,2025-10,MTN,0.934,77,77
CW500009,2025-10,PSW,0.998,73,78
CW500009,2025-10,PNW,0.983,148,79
CW500009,2025-11,NE,0.986,58,74
CW500009,2025-11,MA,0.936,38,78
CW500009,2025-11,SE,0.948,114,69
CW500009,2025-11,MW,0.991,43,69
CW500009,2025-11,TX,0.936,41,49
CW500009,2025-11,MTN,0.946,120,72
CW500009,2025-11,PSW,0.982,68,73
CW500009,2025-11,PNW,0.958,79,70
CW500009,2025-12,NE,0.986,74,75
CW500009,2025-12,MA,0.961,61,74
CW500009,2025-12,SE,0.993,118,63
CW500009,2025-12,MW,0.974,81,68
CW500009,2025-12,TX,0.935,49,49
CW500009,2025-12,MTN,0.958,44,64
CW500009,2025-12,PSW,0.983,36,63
CW500009,2025-12,PNW,0.973,113,66
CW500012,2024-01,NE,0.964,60,105
CW500012,2024-01,MA,0.978,112,79
CW500012,2024-01,SE,0.98,99,76
CW500012,2024-01,MW,0.945,173,104
CW500012,2024-01,TX,0.946,123,85
CW500012,2024-01,MTN,0.973,102,89
CW500012,2024-01,PSW,0.972,123,74
CW500012,2024-01,PNW,0.945,160,103
CW500012,2024-02,NE,0.984,196,104
CW500012,2024-02,MA,0.964,150,88
CW500012,2024-02,SE,0.953,138,91
CW500012,2024-02,MW,0.942,115,110
CW500012,2024-02,TX,0.943,95,96
CW500012,2024-02,MTN,0.932,131,106
CW500012,2024-02,PSW,0.954,94,74
CW500012,2024-02,PNW,0.99,215,113
CW500012,2024-03,NE,0.974,147,126
CW500012,2024-03,MA,0.934,158,104
CW500012,2024-03,SE,0.944,98,105
CW500012,2024-03,MW,0.996,122,122
CW500012,2024-03,TX,0.94,89,119
CW500012,2024-03,MTN,0.979,156,117
CW500012,2024-03,PSW,0.981,56,87
CW500012,2024-03,PNW,0.955,235,132
CW500012,2024-04,NE,0.939,184,148
CW500012,2024-04,MA,0.99,218,117
CW500012,2024-04,SE,0.934,178,123
CW500012,2024-04,MW,0.989,80,134
CW500012,2024-04,TX,0.944,113,119
CW500012,2024-04,MTN,0.948,167,130
CW500012,2024-04,PSW,0.985,104,101
CW500012,2024-04,PNW,0.973,143,141
CW500012,2024-05,NE,0.979,180,163
CW500012,2024-05,MA,0.988,125,126
CW500012,2024-05,SE,0.986,103,133
CW500012,2024-05,MW,0.961,153,148
CW500012,2024-05,TX,0.963,232,143
CW500012,2024-05,MTN,0.954,201,153
CW500012,2024-05,PSW,0.937,205,114
CW500012,2024-05,PNW,0.955,275,157
CW500012,2024-06,NE,0.975,136,153
CW500012,2024-06,MA,0.947,155,126
CW500012,2024-06,SE,0.983,223,128
CW500012,2024-06,MW,0.947,132,167
CW500012,2024-06,TX,0.983,123,134
CW500012,2024-06,MTN,0.97,179,145
CW500012,2024-06,PSW,0.991,108,103
CW500012,2024-06,PNW,0.98,264,165
CW500012,2024-07,NE,0.97,72,149
CW500012,2024-07,MA,0.979,129,120
CW500012,2024-07,SE,0.991,129,116
CW500012,2024-07,MW,0.945,124,154
CW500012,2024-07,TX,0.958,265,142
CW500012,2024-07,MTN,0.965,186,139
CW500012,2024-07,PSW,0.93,151,120
CW500012,2024-07,PNW,0.955,259,152
CW500012,2024-08,NE,0.991,101,152
CW500012,2024-08,MA,0.979,85,113
CW500012,2024-08,SE,0.996,200,114
CW500012,2024-08,MW,0.952,105,140
CW500012,2024-08,TX,0.938,231,139
CW500012,2024-08,MTN,0.968,98,131
CW500012,2024-08,PSW,0.983,210,109
CW500012,2024-08,PNW,0.955,131,135
CW500012,2024-09,NE,0.953,233,129
CW500012,2024-09,MA,0.998,68,91
CW500012,2024-09,SE,0.95,133,113
CW500012,2024-09,MW,0.991,228,131
CW500012,2024-09,TX,0.973,184,108
CW500012,2024-09,MTN,0.956,107,121
CW500012,2024-09,PSW,0.975,52,95
CW500012,2024-09,PNW,0.957,159,138
CW500012,2024-10,NE,0.985,139,120
CW500012,2024-10,MA,0.97,120,84
